طرق احصائية;G1;د.زاهر;BSC222;11,12,13,27,28;3;BSC222 G1;
طرق احصائية;G2;د.فرحات;BSC222;14,15,16,31,32;3;BSC222 G2;
طرق احصائية;G3;د.عبدالعظيم;BSC222;56,57,58,47,48;3;BSC222 G3;
طرق احصائية;G4;د.فرحات;BSC222;11,12,13,34,35;3;BSC222 G4;
طرق احصائية;G5;د.عبدالعظيم;BSC222;44,45,46,54,55;3;BSC222 G5;
طرق احصائية;G6;د.محمد ابوزيد;BSC222;41,42,43,24,25;3;BSC222 G6;
مقرر ثقافى (١);G1;د.وليد;HUM110;14,15;1;HUM110 G1;
لغة إنجليزية(٢);G1;؟؟؟;BSC123;17,18;1;BSC123 G1;
لغة إنجليزية(٢);G2;؟؟;BSC123;57,58;1;BSC123 G2;
لغة إنجليزية(٢);G3;؟؟;BSC123;37,38;1;BSC123 G3;
لغة إنجليزية(٢);G4;؟؟;BSC123;14,15;1;BSC123 G4;
لغة إنجليزية(٢);G5;؟؟;BSC123;17,18;1;BSC123 G5;
لغة إنجليزية(٢);G6;؟؟;BSC123;31,32;1;BSC123 G6;
رياضة(١);G1;د.خالد;BSC110;21,22,23,34,35;3;BSC110 G1;
رياضة(١);G2;ا.م.د.رانيا بهجت;BSC110;41,42,43,51,52;3;BSC110 G2;
رياضة(١);G3;د.;BSC110;31,32,33,41,42;3;BSC110 G3;
فيزياء;G1;د.محمد رجب;BSC124;21,22,23,44,45;3;BSC124 G1;
فيزياء;G2;د.محمد رجب;BSC124;41,42,43,24,25;3;BSC124 G2;
فيزياء;G3;د.محمد رجب;BSC124;11,12,13,14,15;3;BSC124 G3;
البرمجة الهيكلية;G1;د احمد جادالله - م.اية-م.بسنت;CSC121;24,25,26,41,42,43;4;CSC121 G1;
البرمجة الهيكلية;G2;د احمد جادالله - م.الاء-م.بسنت;CSC121;21,22,23,44,45,46;4;CSC121 G2;
البرمجة الهيكلية;G3;د.امجد - م.الاء-م.ايه;CSC121;51,52,53,31,32,33;4;CSC121 G3;
البرمجة الهيكلية;G4;د.امجد - م.نبيل-م.اية;CSC121;54,55,56,26,27,28;4;CSC121 G4;
البرمجة الهيكلية;G5;د.نادر - م.الاء-م.شروق;CSC121;33,34,35,51,52,53;4;CSC121 G5;
البرمجة الهيكلية;G6;د.نادر - م.نبيل-م.شروق;CSC121;36,37,38,33,34,35;4;CSC121 G6;
بحوث عمليات;G1;د.رانيا - م.اية;BSC220;31,32,33,57,58;3;BSC220 G1;
بحوث عمليات;G2;د.رانيا - م.شروق ;BSC220;34,35,36,47,48;3;BSC220 G2;
بحوث عمليات;G3;د.رانيا - م.شروق-م.اية  ;BSC220;24,25,26,54,55;3;BSC220 G3;
بحوث عمليات;G4;د.رانيا - م.اية  ;BSC220;21,22,23,44,45;3;BSC220 G4;
بحوث عمليات;G5;د.يسرية - م.اية  ;BSC220;41,42,43,21,22;3;BSC220 G5;
بحوث عمليات;G6;د.يسرية - م.شروق ;BSC220;44,45,46,27,28;3;BSC220 G6;
رياضة(٢);G1;د. ؟؟;BSC120;44,45,46,36,37;3;BSC120 G1;
رياضة(٢);G2;د.كمال رسلان;BSC120;41,42,43,37,38;3;BSC120 G2;
رياضة(٢);G3;د.كمال رسلان;BSC120;34,35,36,44,45;3;BSC120 G3;
رياضة(٢);G4;د.خالد;BSC120;31,32,33,24,25;3;BSC120 G4;
رياضة(٢);G5;د.زاهر;BSC120;24,25,26,14,15;3;BSC120 G5;
رياضة(٢);G6;د.محمد ابوزيد;BSC120;21,22,23,47,48;3;BSC120 G6;
تربية رياضية (١);G1;د. ؟;PHE110;41,42;1;PHE110 G1;
لغة إنجليزية(1);G1;د. ؟;BSC114;47,48;1;BSC114 G1;
الكترونيات(٢);G1;د.احمد مجدي - م.دينا;BSC122;51,52,53,54,55,56;4;BSC122 G1;
الكترونيات(٢);G2;د.معتصم - م.دينا;BSC122;11,12,13,26,27,28;4;BSC122 G2;
الكترونيات(٢);G3;د.معتصم - م.دينا;BSC122;14,15,16,21,22,23;4;BSC122 G3;
الكترونيات(١);G1;د.احمد مجدي - م.دينا;BSC113;54,55,56,51,52,53;4;BSC113 G1;
الكترونيات(١);G2;د.احمد ناصر - م.ايمان;BSC113;24,25,26,54,55,56;4;BSC113 G2;
الكترونيات(١);G3;د.احمد ناصر - م.دينا;BSC113;21,22,23,36,37,38;4;BSC113 G3;
الكترونيات(١);G4;د.عماد بدري - م.دينا;BSC113;51,52,53,46,47,48;4;BSC113 G4;
الكترونيات(١);G5;د.اسامة الكومي - م.ايمان;BSC113;11,12,13,21,22,23;4;BSC113 G5;
نظم التشغيل;G1;د.باسل حافظ - م.عبدالهادي-شروق ;CSC222;11,12,13,24,25;3;CSC222 G1;
نظم التشغيل;G2;د.باسل حافظ - م.نادين-شروق;CSC222;14,15,16,44,45;3;CSC222 G2;
نظم التشغيل;G3;د.شريف شاروش - م.نادين-شروق ;CSC222;54,55,56,41,42;3;CSC222 G3;
نظم التشغيل;G4;د.شريف شاروش - م.عبدالهادي-شروق;CSC222;51,52,53,37,38;3;CSC222 G4;
نظم التشغيل;G5;د.باسل - م.عبدالهادي-شروق;CSC222;24,25,26,31,32;3;CSC222 G5;
نظم دعم واتخاذ القرار;G1;د.محمد عبداللطيف -م.منى-م.بسنت ;INF320;14,15,21,22;3;INF320 G1;
نظم دعم واتخاذ القرار;G2;د.محمد عبداللطيف -م.منى ;INF320;11,12,41,42;3;INF320 G2;
نظم دعم واتخاذ القرار;G3;د.محمد عبداللطيف -م.منى-م.بسنت;INF320;17,18,37,38;3;INF320 G3;
نظم دعم واتخاذ القرار;G4;د.عبيد  -م.منى-م.بسنت;INF320;44,45,54,55;3;INF320 G4;
نظم دعم واتخاذ القرار;G5;د.محمد عبداللطيف  -م.بسنت ;INF320;17,18,27,28;3;INF320 G5;
مبادئ إدارة;G1;??;BSC213;17,18;1;BSC213 G1;
لغة إنجليزية(٣);G1;??;BSC214;27,28;1;BSC214 G1;
تحليل نظم;G1;د.اسماء حنفي - م.نادين;INF220;51,52,53,27,28;3;INF220 G1;
تحليل نظم;G2;د.اسماء حنفي - م.شيماء-م.نادين;INF220;54,55,56,37,38;3;INF220 G2;
تحليل نظم;G3;د.سماح ابراهيم - م.شيماء-م.نادين;INF220;31,32,33,24,25;3;INF220 G3;
تحليل نظم;G4;د.سماح ابراهيم -م.شيماء-م.نادين;INF220;34,35,36,21,22;3;INF220 G4;
تحليل نظم;G5;د/عبيد -م.نادين;INF220;41,42,43,47,48;3;INF220 G5;
البرمجة المنطقية;G1;د.اسامة حلمي - م.منى-م.بسنت;CSC324;31,32,33,47,48;4;CSC324 G1;
البرمجة المنطقية;G2;د.اسامة حلمي - م.منى-م.بسنت;CSC324;34,35,36,51,52;4;CSC324 G2;
البرمجة المنطقية;G3;د.اسامة حلمي - م.منى-م.بسنت;CSC324;14,15,16,34,35;4;CSC324 G3;
البرمجة المنطقية;G4;د.اسامة حلمي - م.منى-م.بسنت;CSC324;11,12,13,31,32;4;CSC324 G4;
البرمجة المنطقية;G5;د.عماد بدري - م.منى-م.بسنت;CSC324;54,55,56,57,58;4;CSC324 G5;
تنسيق ملفات;G1;د.علاء - م.الاء-م.ايمان;INF221;34,35,36,37,38;3;INF221 G1;
تنسيق ملفات;G2;د.علاء - م.الاء-م.ايمان;INF221;31,32,33,24,25;3;INF221 G2;
تنسيق ملفات;G3;د.عادل - م.الاء-م.ايمان;INF221;11,12,13,47,48;3;INF221 G3;
تنسيق ملفات;G4;د.عادل - م.الاء-م.ايمان;INF221;14,15,16,57,58;3;INF221 G4;
تنسيق ملفات;G5;د.باسل - م.الاء-م.ايمان;INF221;21,22,23,34,35;3;INF221 G5;
مبادئ الاقتصاد;G1;??;BSC224;41,42,43;1;BSC224 G1;
مبادئ الاقتصاد;G2;??;BSC224;46,47,48;1;BSC224 G2;
مبادئ الاقتصاد;G3;??;BSC224;21,22,23;1;BSC224 G3;
مبادئ الاقتصاد;G4;??;BSC224;24,25,26;1;BSC224 G4;
مبادئ الاقتصاد;G5;??;BSC224;11,12,13;1;BSC224 G5;
رياضة(٣);G1;ا.م.د.رانيا بهجت;BSC210;54,55,56,44,45;3;BSC210 G1;
تربية رياضية(٢);G1;؟؟؟;PHE220;57,58;1;PHE220 G1;
تربية رياضية(٢);G2;؟؟؟;PHE220;21,22;1;PHE220 G2;
تربية رياضية(٢);G3;؟؟؟;PHE220;57,58;1;PHE220 G3;
تربية رياضية(٢);G4;؟؟؟;PHE220;41,42;1;PHE220 G4;
تربية رياضية(٢);G5;؟؟؟;PHE220;44,45;1;PHE220 G5;
لغة إنجليزية(٤);G1;???;BSC320;11,12;1;BSC320 G1;
لغة إنجليزية(٤);G2;???;BSC320;14,15;1;BSC320 G2;
لغة إنجليزية(٤);G3;???;BSC320;17,18;1;BSC320 G3;
لغة إنجليزية(٤);G4;???;BSC320;21,22;1;BSC320 G4;
لغة إنجليزية(٤);G5;???;BSC320;27,28;1;BSC320 G5;
مقرر ثقافى (٢);G1;د.اسامة المركبي;HUM320;34,35;1;HUM320 G1;
مقرر ثقافى (٢);G2;د.اسامة المركبي;HUM320;47,48;1;HUM320 G2;
مقرر ثقافى (٢);G3;د.اسامة المركبي;HUM320;41,42;1;HUM320 G3;
مقرر ثقافى (٢);G4;د.اسامة المركبي;HUM320;31,32;1;HUM320 G4;
مقرر ثقافى (٢);G5;د.اسامة المركبي;HUM320;44,45;1;HUM320 G5;
مقرر ثقافى (٢);G6;د.اسامة المركبي;HUM320;37,38;1;HUM320 G6;
بناء وتنظيم نظم الحاسبات ولغة التجميع;G1;د.اسامة الكومي - م.اية;CSC313;14,15,16,51,52,53;4;CSC313 G1;
شبكات الحاسبات;G1;د.سارة حمدي - م.عبدالهادي-م.نادين;CSC322;31,32,33,17,18;3;CSC322 G1;
شبكات الحاسبات;G2;د.سارة حمدي - م.عبدالهادي-م.نادين;CSC322;11,12,34,35,36;3;CSC322 G2;
شبكات الحاسبات;G3;د.سارة حمدي - م.عبدالهادي-م.نادين;CSC322;54,55,56,34,35;3;CSC322 G3;
شبكات الحاسبات;G4;د.سارة حمدي - م.دينا-م.عبدالهادي;CSC322;51,52,53,44,45;3;CSC322 G4;
شبكات الحاسبات;G5;د.سارة حمدي - م.عبدالهادي-م.نادين;CSC322;31,32,33,14,15;3;CSC322 G5;
شبكات الحاسبات;G6;د.سارة حمدي - م.دينا-م.عبدالهادي;CSC322;34,35,36,41,42;3;CSC322 G6;
رسم بواسطة الحاسب;G1;د.ايمن سليمان-م.كريم-م.نبيل;CSC323;21,22,23,57,58;3;CSC323 G1;
رسم بواسطة الحاسب;G2;د.ايمن سليمان-م.كريم-م.نبيل;CSC323;24,25,26,52,53;3;CSC323 G2;
رسم بواسطة الحاسب;G3;د.انجي-م.كريم-م.نبيل;CSC323;11,12,13,22,23;3;CSC323 G3;
رسم بواسطة الحاسب;G4;د.انجي-م.كريم-م.نبيل;CSC323;14,15,16,24,25;3;CSC323 G4;
رسم بواسطة الحاسب;G5;د.عادل-م.كريم-م.نبيل;CSC323;54,55,56,42,43;3;CSC323 G5;
رسم بواسطة الحاسب;G6;د.عادل-م.كريم-م.نبيل;CSC323;51,52,53,44,45;3;CSC323 G6;
الوسائط المتعددة;G1;د.ماريان وجدي-م.اية-م.سمر;CSC424;24,25,26,37,38;3;CSC424 G1;
الوسائط المتعددة;G2;د.ماريان وجدي-م.كريم-م.عبدالهادي;CSC424;21,22,23,27,28;3;CSC424 G2;
الوسائط المتعددة;G3;د.اسامة فاروق-م.كريم-م.اية;CSC424;14,15,16,47,48;3;CSC424 G3;
الوسائط المتعددة;G4;د.اسامة فاروق-م.كريم-م.اية;CSC424;11,12,13,34,35;3;CSC424 G4;
الوسائط المتعددة;G5;د.رشدي-م.سمر -م.اية;CSC424;34,35,36,24,25;3;CSC424 G5;
الوسائط المتعددة;G6;د.رشدي-م.سمر-م.عبدالهادي;CSC424;31,32,33,21,22;3;CSC424 G6;
هندسة البرمجيات(١);G1;د.سارة احمد-م.منى-د.سارة;CSC320;41,42,43,27,28;3;CSC320 G1;
هندسة البرمجيات(١);G2;د.سارة احمد-م.منى-د.سارة;CSC320;31,32,33,44,45;3;CSC320 G2;
هندسة البرمجيات(١);G3;د.سارة احمد-م.منى-د.سارة;CSC320;51,52,53,24,25;3;CSC320 G3;
نظم الحاسبات الموزعة والمتوازية;G1;د.ايمن سليمان-م.كريم-م.نبيل;CSC423;51,52,54,55;3;CSC423 G1;
نظم الحاسبات الموزعة والمتوازية;G2;د.ايمن سليمان-م.كريم-م.نبيل;CSC423;54,55,37,38;3;CSC423 G2;
نظم الحاسبات الموزعة والمتوازية;G3;د.ايمن سليمان-م.ايمان-م.كريم;CSC423;57,58,31,32;3;CSC423 G3;
مقرر اختياري;G1;د.سامح ظريف-م.دينا-م.شروق;CSC417;21,22,23,57,58;3;CSC417 G1;
مقرر اختياري;G2;د.سامح ظريف-م.الاء-م.شروق;CSC417;24,25,26,21,22;3;CSC417 G2;
مقرر اختياري;G3;د.ماريان-م.دينا-م.سمر;CSC417;51,52,53,34,35;3;CSC417 G3;
مقرر اختياري;G4;د.ماريان-م.الاء-م.سمر;CSC417;51,52,53,54,55;3;CSC417 G4;
مقرر اختياري;G5;د.ماريان-م.سمر;CSC417;54,55,56,44,45;3;CSC417 G5;
النظم الخبيرة;G1;د.سماح-م.الاء-م.ايمان;CSC420;44,45,46,27,28;3;CSC420 G1;
النظم الخبيرة;G2;د.سارة احمد-د.سارة-م.شيماء;CSC420;36,37,38,54,55;3;CSC420 G2;
النظم الخبيرة;G3;د.رضا-م.شيماء-م.ايمان;CSC420;26,27,28,44,45;3;CSC420 G3;
النظم الخبيرة;G4;د.رضا-م.ايمان-م.الاء;CSC420;23,24,25,41,42;3;CSC420 G4;
النظم الخبيرة;G5;د.سماح-م.سمر-م.شيماء;CSC420;41,42,43,57,58;3;CSC420 G5;
الشبكات العصبية;G1;د.سامح-م.شيماء-م.سمر;CSC426;54,55,31,32;3;CSC426 G1;
الشبكات العصبية;G2;د.سامح-م.شيماء-م.سمر;CSC426;56,57,51,52;3;CSC426 G2;
الشبكات العصبية;G3;د.سامح-م.شيماء-م.سمر;CSC426;54,55,41,42;3;CSC426 G3;
الشبكات العصبية;G4;د.سامح-م.شيماء-م.سمر;CSC426;56,57,47,48;3;CSC426 G4;
الشبكات العصبية;G5;د.سامح-م.شيماء-م.سمر;CSC426;51,52,27,28;3;CSC426 G5;
مشروع;G1;_;CSC400;18;6;CSC400 G1;
مشروع;G2;_;CSC400;28;6;CSC400 G2;
لغة إنجليزية(٥);G1;_;BSC410;51,52,53;1;BSC410 G1